t;pais;tipo_aplicacion;descargas
3,783784;Argentina;informativa;62,149396
3,813814;Argentina;informativa;58,39286
3,843844;Argentina;informativa;59,001962
3,873874;Argentina;informativa;60,825354
3,903904;Argentina;informativa;59,644501
3,933934;Argentina;informativa;57,936883
3,963964;Argentina;informativa;57,807241
3,993994;Argentina;informativa;59,327715
4,024024;Argentina;informativa;60,090172
4,054054;Argentina;informativa;60,561607
4,084084;Argentina;informativa;59,28211
4,114114;Argentina;informativa;57,77854
4,144144;Argentina;informativa;58,805412
4,174174;Argentina;informativa;61,755975
4,204204;Argentina;informativa;60,406345
4,234234;Argentina;informativa;58,111583
4,264264;Argentina;informativa;61,251939
4,294294;Argentina;informativa;59,249644
4,324324;Argentina;informativa;61,204203
4,354354;Argentina;informativa;60,312884
4,384384;Argentina;informativa;59,452867
4,414414;Argentina;informativa;62,634068
4,444444;Argentina;informativa;61,697582
4,474474;Argentina;informativa;63,844238
4,504505;Argentina;informativa;60,292011
4,534535;Argentina;informativa;60,073372
4,564565;Argentina;informativa;62,755086
4,594595;Argentina;informativa;61,459257
4,624625;Argentina;informativa;60,877184
4,654655;Argentina;informativa;62,223484
4,684685;Argentina;informativa;59,39997
4,714715;Argentina;informativa;63,011085
4,744745;Argentina;informativa;65,114628
4,774775;Argentina;informativa;60,321822
4,804805;Argentina;informativa;58,844316
4,834835;Argentina;informativa;59,169381
4,864865;Argentina;informativa;62,741412
4,894895;Argentina;informativa;59,616683
4,924925;Argentina;informativa;64,156109
4,954955;Argentina;informativa;61,339869
4,984985;Argentina;informativa;63,890334
5,015015;Argentina;informativa;60,477369
5,045045;Argentina;informativa;62,038904
5,075075;Argentina;informativa;63,619268
5,105105;Argentina;informativa;62,427258
5,135135;Argentina;informativa;63,411229
5,165165;Argentina;informativa;60,894278
5,195195;Argentina;informativa;65,315302
5,225225;Argentina;informativa;59,13078
5,255255;Argentina;informativa;64,706764
5,285285;Argentina;informativa;61,112599
5,315315;Argentina;informativa;64,588822
5,345345;Argentina;informativa;66,054704
5,375375;Argentina;informativa;61,087725
5,405405;Argentina;informativa;61,495767
5,435435;Argentina;informativa;62,226969
5,465465;Argentina;informativa;59,625334
5,495495;Argentina;informativa;59,593766
5,525526;Argentina;informativa;64,278917
5,555556;Argentina;informativa;60,799285
5,585586;Argentina;informativa;62,788343
5,615616;Argentina;informativa;63,475322
5,645646;Argentina;informativa;61,661323
5,675676;Argentina;informativa;62,413034
5,705706;Argentina;informativa;62,259928
5,735736;Argentina;informativa;62,01566
5,765766;Argentina;informativa;61,597342
5,795796;Argentina;informativa;63,421231
5,825826;Argentina;informativa;63,97848
5,855856;Argentina;informativa;64,01217
5,885886;Argentina;informativa;61,683393
5,915916;Argentina;informativa;61,112822
5,945946;Argentina;informativa;61,526941
5,975976;Argentina;informativa;63,638342
6,006006;Argentina;informativa;62,848837
6,036036;Argentina;informativa;62,308688
6,066066;Argentina;informativa;63,263359
6,096096;Argentina;informativa;64,330704
6,126126;Argentina;informativa;63,521877
6,156156;Argentina;informativa;62,278673
6,186186;Argentina;informativa;62,547907
6,216216;Argentina;informativa;63,806264
6,246246;Argentina;informativa;65,940094
6,276276;Argentina;informativa;63,850459
6,306306;Argentina;informativa;61,679803
6,336336;Argentina;informativa;60,725294
6,366366;Argentina;informativa;62,626992
6,396396;Argentina;informativa;65,264158
6,426426;Argentina;informativa;59,198436
6,456456;Argentina;informativa;65,958341
6,486486;Argentina;informativa;64,286724
6,516517;Argentina;informativa;65,643245
6,546547;Argentina;informativa;62,867594
6,576577;Argentina;informativa;63,417953
6,606607;Argentina;informativa;64,181181
6,636637;Argentina;informativa;61,83884
6,666667;Argentina;informativa;66,066731
6,696697;Argentina;informativa;63,370321
6,726727;Argentina;informativa;66,909314
6,756757;Argentina;informativa;67,138536
6,786787;Argentina;informativa;62,188888
6,816817;Argentina;informativa;63,592616
6,846847;Argentina;informativa;63,588313
6,876877;Argentina;informativa;64,809694
6,906907;Argentina;informativa;62,654062
6,936937;Argentina;informativa;63,151382
6,966967;Argentina;informativa;64,178711
6,996997;Argentina;informativa;62,476665
7,027027;Argentina;informativa;63,910973
7,057057;Argentina;informativa;66,683948
7,087087;Argentina;informativa;63,84348
7,117117;Argentina;informativa;62,792839
7,147147;Argentina;informativa;67,915306
7,177177;Argentina;informativa;64,545906
7,207207;Argentina;informativa;64,985657
7,237237;Argentina;informativa;65,921502
7,267267;Argentina;informativa;65,094008
7,297297;Argentina;informativa;62,668426
7,327327;Argentina;informativa;62,522189
7,357357;Argentina;informativa;66,218823
7,387387;Argentina;informativa;68,742844
7,417417;Argentina;informativa;62,726254
7,447447;Argentina;informativa;68,808512
7,477477;Argentina;informativa;64,323928
7,507508;Argentina;informativa;67,50902
7,537538;Argentina;informativa;64,539536
7,567568;Argentina;informativa;65,042319
7,597598;Argentina;informativa;63,152311
7,627628;Argentina;informativa;64,455938
7,657658;Argentina;informativa;67,293839
7,687688;Argentina;informativa;67,20186
7,717718;Argentina;informativa;65,298608
7,747748;Argentina;informativa;64,444652
7,777778;Argentina;informativa;63,421535
7,807808;Argentina;informativa;67,021027
7,837838;Argentina;informativa;66,861884
7,867868;Argentina;informativa;67,062107
7,897898;Argentina;informativa;65,457018
7,927928;Argentina;informativa;68,664019
7,957958;Argentina;informativa;64,159876
7,987988;Argentina;informativa;64,343887
8,018018;Argentina;informativa;62,972001
8,048048;Argentina;informativa;66,174752
8,078078;Argentina;informativa;66,498809
8,108108;Argentina;informativa;65,422764
8,138138;Argentina;informativa;66,384902
8,168168;Argentina;informativa;69,552013
8,198198;Argentina;informativa;69,511036
8,228228;Argentina;informativa;67,869196
8,258258;Argentina;informativa;63,496111
8,288288;Argentina;informativa;65,913278
8,318318;Argentina;informativa;65,624594
8,348348;Argentina;informativa;67,129036
8,378378;Argentina;informativa;67,296641
8,408408;Argentina;informativa;66,438636
8,438438;Argentina;informativa;65,821507
8,468468;Argentina;informativa;63,488784
8,498498;Argentina;informativa;65,994525
8,528529;Argentina;informativa;68,110052
8,558559;Argentina;informativa;66,944697
8,588589;Argentina;informativa;69,638122
8,618619;Argentina;informativa;66,823552
8,648649;Argentina;informativa;65,995933
8,678679;Argentina;informativa;66,025437
8,708709;Argentina;informativa;64,463314
8,738739;Argentina;informativa;68,496721
8,768769;Argentina;informativa;64,720801
8,798799;Argentina;informativa;70,867411
8,828829;Argentina;informativa;66,030066
8,858859;Argentina;informativa;66,512076
8,888889;Argentina;informativa;66,547801
8,918919;Argentina;informativa;68,656788
8,948949;Argentina;informativa;69,610979
8,978979;Argentina;informativa;69,159989
9,009009;Argentina;informativa;71,389789
9,039039;Argentina;informativa;66,207128
9,069069;Argentina;informativa;69,881735
9,099099;Argentina;informativa;70,511159
9,129129;Argentina;informativa;67,155927
9,159159;Argentina;informativa;68,934628
9,189189;Argentina;informativa;69,684471
9,219219;Argentina;informativa;63,305853
9,249249;Argentina;informativa;67,945806
9,279279;Argentina;informativa;68,460291
9,309309;Argentina;informativa;67,123154
9,339339;Argentina;informativa;65,680992
9,369369;Argentina;informativa;66,327307
9,399399;Argentina;informativa;69,17893
9,429429;Argentina;informativa;68,862942
9,459459;Argentina;informativa;69,581345
9,489489;Argentina;informativa;68,215211
9,51952;Argentina;informativa;68,230272
9,54955;Argentina;informativa;68,606003
9,57958;Argentina;informativa;70,69599
9,60961;Argentina;informativa;69,001161
9,63964;Argentina;informativa;71,498769
9,66967;Argentina;informativa;64,884623
9,6997;Argentina;informativa;68,440316
9,72973;Argentina;informativa;74,38138
9,75976;Argentina;informativa;67,529634
9,78979;Argentina;informativa;66,040937
9,81982;Argentina;informativa;67,577121
9,84985;Argentina;informativa;68,028968
9,87988;Argentina;informativa;69,564004
9,90991;Argentina;informativa;70,269655
9,93994;Argentina;informativa;66,273077
9,96997;Argentina;informativa;67,734124
10;Argentina;informativa;71,457952
10,03003;Argentina;informativa;68,51218
10,06006;Argentina;informativa;65,517538
10,09009;Argentina;informativa;71,139267
10,12012;Argentina;informativa;67,879988
10,15015;Argentina;informativa;70,807976
10,18018;Argentina;informativa;70,452944
10,21021;Argentina;informativa;68,411248
10,24024;Argentina;informativa;67,967898
10,27027;Argentina;informativa;67,883522
10,3003;Argentina;informativa;69,412313
10,33033;Argentina;informativa;65,480266
10,36036;Argentina;informativa;68,739784
10,39039;Argentina;informativa;69,016504
10,42042;Argentina;informativa;70,061366
10,45045;Argentina;informativa;70,095063
10,48048;Argentina;informativa;69,169159
10,510511;Argentina;informativa;71,911822
10,540541;Argentina;informativa;72,70838
10,570571;Argentina;informativa;70,500057
10,600601;Argentina;informativa;70,597142
10,630631;Argentina;informativa;68,684047
10,660661;Argentina;informativa;71,212127
10,690691;Argentina;informativa;70,917221
10,720721;Argentina;informativa;74,418109
10,750751;Argentina;informativa;69,492389
10,780781;Argentina;informativa;70,726921
10,810811;Argentina;informativa;70,065047
10,840841;Argentina;informativa;68,87142
10,870871;Argentina;informativa;70,991214
10,900901;Argentina;informativa;70,712181
10,930931;Argentina;informativa;75,32055
10,960961;Argentina;informativa;65,620888
10,990991;Argentina;informativa;75,24748
11,021021;Argentina;informativa;70,242126
11,051051;Argentina;informativa;70,879315
11,081081;Argentina;informativa;68,616944
11,111111;Argentina;informativa;69,910069
11,141141;Argentina;informativa;68,875539
11,171171;Argentina;informativa;73,638516
11,201201;Argentina;informativa;73,421504
11,231231;Argentina;informativa;71,802735
11,261261;Argentina;informativa;71,964072
11,291291;Argentina;informativa;70,941001
11,321321;Argentina;informativa;71,356464
11,351351;Argentina;informativa;71,592747
11,381381;Argentina;informativa;74,875288
11,411411;Argentina;informativa;72,11551
11,441441;Argentina;informativa;73,549227
11,471471;Argentina;informativa;72,778993
11,501502;Argentina;informativa;70,786876
11,531532;Argentina;informativa;72,292487
11,561562;Argentina;informativa;70,806483
11,591592;Argentina;informativa;69,612444
11,621622;Argentina;informativa;72,433599
11,651652;Argentina;informativa;72,852481
11,681682;Argentina;informativa;71,829223
11,711712;Argentina;informativa;68,740817
11,741742;Argentina;informativa;76,128913
11,771772;Argentina;informativa;69,685325
11,801802;Argentina;informativa;69,483148
11,831832;Argentina;informativa;70,610552
11,861862;Argentina;informativa;70,641539
11,891892;Argentina;informativa;73,979066
11,921922;Argentina;informativa;76,189592
11,951952;Argentina;informativa;72,694179
11,981982;Argentina;informativa;72,347835
12,012012;Argentina;informativa;75,05819
12,042042;Argentina;informativa;71,988665
12,072072;Argentina;informativa;73,374856
12,102102;Argentina;informativa;73,133335
12,132132;Argentina;informativa;70,358484
12,162162;Argentina;informativa;71,800243
12,192192;Argentina;informativa;76,47527
12,222222;Argentina;informativa;68,866066
12,252252;Argentina;informativa;74,226372
12,282282;Argentina;informativa;75,583539
12,312312;Argentina;informativa;74,742673
12,342342;Argentina;informativa;71,304038
12,372372;Argentina;informativa;75,551999
12,402402;Argentina;informativa;75,648703
12,432432;Argentina;informativa;73,024901
12,462462;Argentina;informativa;72,487486
12,492492;Argentina;informativa;74,787571
12,522523;Argentina;informativa;72,600289
12,552553;Argentina;informativa;72,081917
12,582583;Argentina;informativa;74,963114
12,612613;Argentina;informativa;74,525111
12,642643;Argentina;informativa;71,743382
12,672673;Argentina;informativa;72,614805
12,702703;Argentina;informativa;74,817109
12,732733;Argentina;informativa;70,822183
12,762763;Argentina;informativa;73,726003
12,792793;Argentina;informativa;73,183116
12,822823;Argentina;informativa;73,498459
12,852853;Argentina;informativa;77,35263
12,882883;Argentina;informativa;75,773946
12,912913;Argentina;informativa;74,192361
12,942943;Argentina;informativa;72,86663
12,972973;Argentina;informativa;74,697309
13,003003;Argentina;informativa;76,059449
13,033033;Argentina;informativa;76,458526
13,063063;Argentina;informativa;75,516864
13,093093;Argentina;informativa;71,670502
13,123123;Argentina;informativa;75,876266
13,153153;Argentina;informativa;77,593212
13,183183;Argentina;informativa;78,306161
13,213213;Argentina;informativa;77,376956
13,243243;Argentina;informativa;75,460134
13,273273;Argentina;informativa;74,695772
13,303303;Argentina;informativa;74,950858
13,333333;Argentina;informativa;79,444026
13,363363;Argentina;informativa;73,465881
13,393393;Argentina;informativa;74,21422
13,423423;Argentina;informativa;73,705774
13,453453;Argentina;informativa;73,132165
13,483483;Argentina;informativa;74,342048
13,513514;Argentina;informativa;75,368068
13,543544;Argentina;informativa;72,50142
13,573574;Argentina;informativa;74,941193
13,603604;Argentina;informativa;75,793203
13,633634;Argentina;informativa;72,679017
13,663664;Argentina;informativa;76,187526
13,693694;Argentina;informativa;76,1656
13,723724;Argentina;informativa;78,167563
13,753754;Argentina;informativa;76,20318
13,783784;Argentina;informativa;75,022481
13,813814;Argentina;informativa;75,355759
13,843844;Argentina;informativa;77,51162
13,873874;Argentina;informativa;78,182202
13,903904;Argentina;informativa;76,035539
13,933934;Argentina;informativa;75,097481
13,963964;Argentina;informativa;76,326339
13,993994;Argentina;informativa;72,412736
14,024024;Argentina;informativa;73,927712
14,054054;Argentina;informativa;77,461371
14,084084;Argentina;informativa;80,267579
14,114114;Argentina;informativa;77,874335
14,144144;Argentina;informativa;78,748248
14,174174;Argentina;informativa;81,428929
14,204204;Argentina;informativa;78,528125
14,234234;Argentina;informativa;79,976725
14,264264;Argentina;informativa;77,275416
14,294294;Argentina;informativa;78,549461
14,324324;Argentina;informativa;77,480233
14,354354;Argentina;informativa;76,84991
14,384384;Argentina;informativa;75,067488
14,414414;Argentina;informativa;81,48221
14,444444;Argentina;informativa;82,70708
14,474474;Argentina;informativa;76,991702
14,504505;Argentina;informativa;72,500194
14,534535;Argentina;informativa;75,690434
14,564565;Argentina;informativa;77,7122
14,594595;Argentina;informativa;80,959285
14,624625;Argentina;informativa;77,440837
14,654655;Argentina;informativa;77,785181
14,684685;Argentina;informativa;80,033383
14,714715;Argentina;informativa;76,256448
14,744745;Argentina;informativa;77,952559
14,774775;Argentina;informativa;77,90608
14,804805;Argentina;informativa;81,382056
14,834835;Argentina;informativa;78,647141
14,864865;Argentina;informativa;79,323489
14,894895;Argentina;informativa;76,466602
14,924925;Argentina;informativa;76,925151
14,954955;Argentina;informativa;76,273439
14,984985;Argentina;informativa;76,034696
15,015015;Argentina;informativa;79,398532
15,045045;Argentina;informativa;79,799801
15,075075;Argentina;informativa;74,738437
15,105105;Argentina;informativa;81,420483
15,135135;Argentina;informativa;75,23815
15,165165;Argentina;informativa;79,887454
15,195195;Argentina;informativa;78,326617
15,225225;Argentina;informativa;79,928231
15,255255;Argentina;informativa;76,966559
15,285285;Argentina;informativa;80,473139
15,315315;Argentina;informativa;79,923538
15,345345;Argentina;informativa;79,81838
15,375375;Argentina;informativa;78,526669
15,405405;Argentina;informativa;78,589486
15,435435;Argentina;informativa;77,280413
15,465465;Argentina;informativa;74,0398
15,495495;Argentina;informativa;76,930936
15,525526;Argentina;informativa;81,624343
15,555556;Argentina;informativa;81,592447
15,585586;Argentina;informativa;76,986546
15,615616;Argentina;informativa;76,338904
15,645646;Argentina;informativa;76,334616
15,675676;Argentina;informativa;79,470581
15,705706;Argentina;informativa;74,329327
15,735736;Argentina;informativa;82,724832
15,765766;Argentina;informativa;77,871145
15,795796;Argentina;informativa;78,412949
15,825826;Argentina;informativa;79,875302
15,855856;Argentina;informativa;84,861092
15,885886;Argentina;informativa;82,445773
15,915916;Argentina;informativa;80,329904
15,945946;Argentina;informativa;82,11184
15,975976;Argentina;informativa;83,737705
16,006006;Argentina;informativa;77,903178
16,036036;Argentina;informativa;81,08629
16,066066;Argentina;informativa;80,946914
16,096096;Argentina;informativa;81,558209
16,126126;Argentina;informativa;80,289885
16,156156;Argentina;informativa;79,409305
16,186186;Argentina;informativa;76,472341
16,216216;Argentina;informativa;79,778446
16,246246;Argentina;informativa;81,157372
16,276276;Argentina;informativa;78,835121
16,306306;Argentina;informativa;82,459507
16,336336;Argentina;informativa;82,228007
16,366366;Argentina;informativa;81,233542
16,396396;Argentina;informativa;78,959554
16,426426;Argentina;informativa;78,837066
16,456456;Argentina;informativa;83,164325
16,486486;Argentina;informativa;77,426925
16,516517;Argentina;informativa;81,369544
16,546547;Argentina;informativa;80,263014
16,576577;Argentina;informativa;79,900706
16,606607;Argentina;informativa;82,284606
16,636637;Argentina;informativa;83,202389
16,666667;Argentina;informativa;77,287129
16,696697;Argentina;informativa;76,516495
16,726727;Argentina;informativa;82,620864
16,756757;Argentina;informativa;82,444845
16,786787;Argentina;informativa;80,32875
16,816817;Argentina;informativa;75,600864
16,846847;Argentina;informativa;82,582559
16,876877;Argentina;informativa;83,095278
16,906907;Argentina;informativa;80,071988
16,936937;Argentina;informativa;85,952544
16,966967;Argentina;informativa;82,059534
16,996997;Argentina;informativa;78,013253
17,027027;Argentina;informativa;85,576812
17,057057;Argentina;informativa;77,361609
17,087087;Argentina;informativa;81,326042
17,117117;Argentina;informativa;81,396133
17,147147;Argentina;informativa;80,977172
17,177177;Argentina;informativa;87,441077
17,207207;Argentina;informativa;81,32037
17,237237;Argentina;informativa;87,089798
17,267267;Argentina;informativa;83,559525
17,297297;Argentina;informativa;76,824154
17,327327;Argentina;informativa;80,641278
17,357357;Argentina;informativa;84,0569
17,387387;Argentina;informativa;79,530915
17,417417;Argentina;informativa;78,249309
17,447447;Argentina;informativa;86,130926
17,477477;Argentina;informativa;83,636697
17,507508;Argentina;informativa;78,311305
17,537538;Argentina;informativa;79,544327
17,567568;Argentina;informativa;87,418047
17,597598;Argentina;informativa;81,410909
17,627628;Argentina;informativa;82,777902
17,657658;Argentina;informativa;80,766422
17,687688;Argentina;informativa;82,303617
17,717718;Argentina;informativa;82,260281
17,747748;Argentina;informativa;81,742151
17,777778;Argentina;informativa;82,487137
17,807808;Argentina;informativa;87,430374
17,837838;Argentina;informativa;85,318854
17,867868;Argentina;informativa;84,045754
17,897898;Argentina;informativa;83,474976
17,927928;Argentina;informativa;93,730905
17,957958;Argentina;informativa;85,390681
17,987988;Argentina;informativa;85,85824
18,018018;Argentina;informativa;84,997601
18,048048;Argentina;informativa;85,714499
18,078078;Argentina;informativa;87,465339
18,108108;Argentina;informativa;85,061144
18,138138;Argentina;informativa;82,167154
18,168168;Argentina;informativa;80,671233
18,198198;Argentina;informativa;85,211614
18,228228;Argentina;informativa;86,078373
18,258258;Argentina;informativa;79,282495
18,288288;Argentina;informativa;84,995909
18,318318;Argentina;informativa;84,492871
18,348348;Argentina;informativa;84,988973
18,378378;Argentina;informativa;80,779341
18,408408;Argentina;informativa;87,981862
18,438438;Argentina;informativa;85,199723
18,468468;Argentina;informativa;85,012813
18,498498;Argentina;informativa;84,533074
18,528529;Argentina;informativa;83,782347
18,558559;Argentina;informativa;82,958931
18,588589;Argentina;informativa;90,14518
18,618619;Argentina;informativa;88,823972
18,648649;Argentina;informativa;91,625767
18,678679;Argentina;informativa;89,310997
18,708709;Argentina;informativa;84,585743
18,738739;Argentina;informativa;85,960268
18,768769;Argentina;informativa;86,84189
18,798799;Argentina;informativa;89,931131
18,828829;Argentina;informativa;84,351231
18,858859;Argentina;informativa;82,757866
18,888889;Argentina;informativa;82,773644
18,918919;Argentina;informativa;84,357464
18,948949;Argentina;informativa;84,70441
18,978979;Argentina;informativa;85,760753
19,009009;Argentina;informativa;82,78984
19,039039;Argentina;informativa;83,28741
19,069069;Argentina;informativa;87,719274
19,099099;Argentina;informativa;87,959883
19,129129;Argentina;informativa;84,484508
19,159159;Argentina;informativa;85,497962
19,189189;Argentina;informativa;88,847897
19,219219;Argentina;informativa;84,427241
19,249249;Argentina;informativa;84,116
19,279279;Argentina;informativa;88,542783
19,309309;Argentina;informativa;85,585013
19,339339;Argentina;informativa;85,110898
19,369369;Argentina;informativa;82,476952
19,399399;Argentina;informativa;87,876175
19,429429;Argentina;informativa;85,310884
19,459459;Argentina;informativa;88,530699
19,489489;Argentina;informativa;81,047309
19,51952;Argentina;informativa;84,706441
19,54955;Argentina;informativa;88,932483
19,57958;Argentina;informativa;85,590909
19,60961;Argentina;informativa;83,786858
19,63964;Argentina;informativa;88,842466
19,66967;Argentina;informativa;85,981455
19,6997;Argentina;informativa;86,387771
19,72973;Argentina;informativa;81,6293
19,75976;Argentina;informativa;89,525577
19,78979;Argentina;informativa;84,722097
19,81982;Argentina;informativa;83,217527
19,84985;Argentina;informativa;82,582061
19,87988;Argentina;informativa;85,625444
19,90991;Argentina;informativa;90,360159
19,93994;Argentina;informativa;85,194959
19,96997;Argentina;informativa;81,11948
20;Argentina;informativa;82,341301
20,03003;Argentina;informativa;86,656613
20,06006;Argentina;informativa;87,44642
20,09009;Argentina;informativa;86,550211
20,12012;Argentina;informativa;85,452353
20,15015;Argentina;informativa;88,37124
20,18018;Argentina;informativa;85,231312
20,21021;Argentina;informativa;88,227589
20,24024;Argentina;informativa;87,968648
20,27027;Argentina;informativa;85,983113
20,3003;Argentina;informativa;91,291062
20,33033;Argentina;informativa;85,512015
20,36036;Argentina;informativa;85,427603
20,39039;Argentina;informativa;92,182254
20,42042;Argentina;informativa;92,188317
20,45045;Argentina;informativa;94,064282
20,48048;Argentina;informativa;87,815449
20,510511;Argentina;informativa;89,350838
20,540541;Argentina;informativa;86,845473
20,570571;Argentina;informativa;91,566645
20,600601;Argentina;informativa;89,333913
20,630631;Argentina;informativa;84,099426
20,660661;Argentina;informativa;91,214811
20,690691;Argentina;informativa;88,274925
20,720721;Argentina;informativa;87,593162
20,750751;Argentina;informativa;88,096738
20,780781;Argentina;informativa;85,548383
20,810811;Argentina;informativa;86,936356
20,840841;Argentina;informativa;89,17391
20,870871;Argentina;informativa;92,371763
20,900901;Argentina;informativa;91,305657
20,930931;Argentina;informativa;91,85165
20,960961;Argentina;informativa;92,605301
20,990991;Argentina;informativa;90,282884
21,021021;Argentina;informativa;89,023841
21,051051;Argentina;informativa;93,962883
21,081081;Argentina;informativa;87,09831
21,111111;Argentina;informativa;91,416324
21,141141;Argentina;informativa;91,517181
21,171171;Argentina;informativa;90,170245
21,201201;Argentina;informativa;97,744346
21,231231;Argentina;informativa;91,137109
21,261261;Argentina;informativa;97,53047
21,291291;Argentina;informativa;93,338022
21,321321;Argentina;informativa;92,939349
21,351351;Argentina;informativa;87,145805
21,381381;Argentina;informativa;88,047247
21,411411;Argentina;informativa;93,211048
21,441441;Argentina;informativa;89,382971
21,471471;Argentina;informativa;84,61852
21,501502;Argentina;informativa;93,865547
21,531532;Argentina;informativa;88,139552
21,561562;Argentina;informativa;89,706117
21,591592;Argentina;informativa;90,452324
21,621622;Argentina;informativa;89,951774
21,651652;Argentina;informativa;90,525095
21,681682;Argentina;informativa;96,114443
21,711712;Argentina;informativa;87,351195
21,741742;Argentina;informativa;90,148704
21,771772;Argentina;informativa;89,668597
21,801802;Argentina;informativa;93,422587
21,831832;Argentina;informativa;89,745955
21,861862;Argentina;informativa;90,788837
21,891892;Argentina;informativa;86,848747
21,921922;Argentina;informativa;92,481353
21,951952;Argentina;informativa;92,345175
21,981982;Argentina;informativa;93,939492
22,012012;Argentina;informativa;91,654588
22,042042;Argentina;informativa;90,185035
